COMM_ID,COMM_NAME,SHAPE_YEAR,X,Y,Lat,Long,PROV_CODE_1,PROV_NAMT,AMP_CODE_1,AMP_NAMT,TAM_CODE_1,TAM_NAMT
101698,หน้าท่าอากาศยานด้านใต้ (บางส่วน),2562,672863.841,1539636.774,13.921602,100.600002,10,กรุงเทพมหานคร,36,ดอนเมือง,04,ดอนเมือง
101701,ไม่มีชื่อ (พรมแดน),2562,649165.7598,1506361.928,13.622155,100.37894,10,กรุงเทพมหานคร,50,บางบอน,03,บางบอนใต้
101703,วัดแสมดำ (บางส่วน),2562,650321.6168,1502959.483,13.591338,100.389443,10,กรุงเทพมหานคร,21,บางขุนเทียน,07,แสมดำ
102001,ไม่มีชื่อ (คลองแฝด),2562,666140.6721,1512434.561,13.676126,100.536179,10,กรุงเทพมหานคร,12,ยานนาวา,04,บางโพงพาง
102002,ไม่มีชื่อ (จรัญสนิทวงศ์ 95/1),2562,662843.8561,1526599.39,13.804349,100.506521,10,กรุงเทพมหานคร,25,บางพลัด,02,บางอ้อ
102004,"หมู่ 1,3 แขวงบางพรม (บางส่วน)",2562,657356.4192,1519890.184,13.744009,100.455392,10,กรุงเทพมหานคร,19,ตลิ่งชัน,04,บางพรม
102033,ซอยหงษ์ทอง (บางส่วน),2562,661498.3566,1517188.434,13.719359,100.493537,10,กรุงเทพมหานคร,18,คลองสาน,03,บางลำภูล่าง
102129,หน้าโรงเรียนบางจาก (บางส่วน),2562,672413.8038,1514839.033,13.697493,100.594313,10,กรุงเทพมหานคร,09,พระโขนง,10,พระโขนงใต้
102134,ข้างโรงกลั่นน้ำมันบางจาก (บางส่วน),2562,672623.9758,1514077.507,13.690597,100.596209,10,กรุงเทพมหานคร,09,พระโขนง,10,พระโขนงใต้
102135,หน้าวัดบุญรอดธรรมาราม,2562,672449.0763,1514428.327,13.693778,100.594614,10,กรุงเทพมหานคร,09,พระโขนง,05,บางจาก
104010,หลังวัดปากน้ำฝั่งใต้ (บางส่วน),2562,657558.0223,1519854.967,13.74368,100.457254,10,กรุงเทพมหานคร,22,ภาษีเจริญ,07,บางแวก
104011,ไม่มีชื่อ (หลังวิทยาลัยพานิชยการธนบุรี),2562,657767.46,1519148.984,13.737287,100.459151,10,กรุงเทพมหานคร,22,ภาษีเจริญ,07,บางแวก
104025,วัดใหม่พิเรนทร์ (บางส่วน),2562,660262.9437,1519698.97,13.742121,100.482257,10,กรุงเทพมหานคร,16,บางกอกใหญ่,02,วัดท่าพระ
104036,ตลาดปีนัง (บางส่วน),2562,668443.115,1516842.911,13.715839,100.557725,10,กรุงเทพมหานคร,33,คลองเตย,01,คลองเตย
104037,ไม่มีชื่อ (ซ.ชัยมงคล 1),2562,669300.0664,1517177.149,13.71881,100.565668,10,กรุงเทพมหานคร,33,คลองเตย,01,คลองเตย
104038,ไม่มีชื่อ (ริมทางรถไฟสายเก่า),2562,669109.7853,1517083.376,13.717974,100.563903,10,กรุงเทพมหานคร,33,คลองเตย,01,คลองเตย
104044,ซอยวนาวรรณ (บางส่วน),2562,662339.5121,1517710.183,13.724028,100.501344,10,กรุงเทพมหานคร,18,คลองสาน,04,คลองต้นไทร
104048,เพชรเกษม 1 (บางส่วน),2562,660277.5122,1517980.489,13.726586,100.482294,10,กรุงเทพมหานคร,16,บางกอกใหญ่,02,วัดท่าพระ
104049,ศาลเจ้าพ่อเขาตก (บางส่วน),2562,659136.9379,1517647.816,13.723642,100.47173,10,กรุงเทพมหานคร,16,บางกอกใหญ่,02,วัดท่าพระ
104058,เพชรเกษม 44 (บางส่วน),2562,656671.3775,1517023.417,13.718133,100.448898,10,กรุงเทพมหานคร,22,ภาษีเจริญ,01,บางหว้า
104062,วัดจันทร์ประดิษฐาราม เขต 3 (บางส่วน),2562,655976.1135,1517235.456,13.720087,100.442481,10,กรุงเทพมหานคร,22,ภาษีเจริญ,02,บางด้วน
104063,จันทรังษี (บางส่วน),2562,655630.4753,1517472.846,13.722252,100.439299,10,กรุงเทพมหานคร,22,ภาษีเจริญ,02,บางด้วน
