ticket_id,type,organization,comment,coords,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
2023-CPXHR8,{ต้นไม้},เขตบางเขน,"ถ้าอยากให้มาตัดต้นไม้อันนี้คิดราคายังไงคะ 
มีทั้งเป็นต้นไม้นอกรั้วล้ำเข้ามาในบ้าน และต้นไม้ในบริเวณบ้านค่ะ","100.62409,13.87109",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/43622572709c7b5baf9146633724ed1b06f698a3.jpg,,"99/25 ซอย รามอินทรา 23 แยก 26 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,"2023-05-12 13:04:42.979822+00",รอรับเรื่อง,,0,"2023-05-12 13:04:42.968235+00"
JZMX6U,"{ถนน,เสียงรบกวน}",เขตสวนหลวง,"ปัญหา เสียงดัง พบการก่อสร้างยามวิกาล ส่งเสียงดังรบกวนประชาชนบริเวณใกล้เคียง พบเจอ 1 สัปดาห์แล้ว เสียงดังจากการอ๊อกเหล็ก ตัดเหล็ก ทุบพื้น ณ เวลาที่แจ้ง 19:35 น. ยังคงมีการทำงาน บางวันทำล่วงเวลาไปถึง 1:00 น. ขอให้ช่วยดำเนินการแก้ไข
จุดเกิดเหตุ ถนนพระราม 9ซอย 62 จุดสังเกต โชว์รูมโตโยต้า (ปากซอย 62)
ซอย 62
ถนน พระราม 9 
แขวง พัฒนาการ 
เขต สวนหลวง
#1555","100.63380,13.74070",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683896634189.jpeg,,"62 พระราม 9  จุดเกิดเหตุ ถนนพระราม 9ซอย 62 จุดสังเกต โชว์รูมโตโยต้า (ปากซอย 62) พระราม 9 ซอย 62 แขวงพัฒนาการ เขตสวนหลวง : 03 เสรี 8 ซอย 9 Rama IX Soi 62 3 เสรี 8 ซอย 10 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย",สวนหลวง,สวนหลวง,กรุงเทพมหานคร,"2023-05-12 13:03:56.016658+00",รอรับเรื่อง,,0,"2023-05-12 13:03:58.115455+00"
2023-GBD7MD,"{กีดขวาง,ถนน}",เขตจตุจักร,ร้านค้ามีการจอดรถแล้ววางของบนถนนกีดขวางการจราจรครับ,"100.56254,13.81256",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/ffab51c14f282fcc891e73b2f6432de0d28bd9fc.jpg,,"22 ถนนลาดพรัาว แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จอมพล,จตุจักร,กรุงเทพมหานคร,"2023-05-12 13:03:44.969214+00",รอรับเรื่อง,,0,"2023-05-12 13:03:44.959208+00"
2023-D7H3N3,{ร้องเรียน},เขตพญาไท,"ต้องการแจ้งเรื่องไฟ ในซอยพหลโยธิน ซอย 4   ว่าเดิมไฟในซอยเป็นสีเหลือง  ซึ่งทำให้มือและเปลี่ยวมาก เกิดเหตุน่ากลัวบ่อยๆ บริเวณนี้เป็น บ้านเดี่ยว และอาพาร์ทเม้นท์ ขอเสนอให้เปลี้ยนเป็นสีขาว เพื่อความสว่างและปลอดภัยมากขึ้นคะ","100.54449,13.77672",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/84269e1668e8a5217b23ab001ac14cefb07d1fce.jpg,,"7/2 ถ. พหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย",สามเสนใน,พญาไท,กรุงเทพมหานคร,"2023-05-12 13:03:21.384565+00",รอรับเรื่อง,,0,"2023-05-12 13:03:21.37016+00"
2023-AM3P2A,{ทางเท้า},เขตบางกะปิ,"📢🔊แจ้งฟุทบาท ทางเท้าชำรุด
🚶🚶‍♀️🏃👩‍🦯👩‍🦽👩‍🦼
คัวหนอนทรุด หลุด
📸
📌หน้าร้าน ครัวตานุ
🛣️ถ.โพธิ์แก้ว
🙏👷👩‍🔧ขอขอบคุณ เจ้าหน้าที่ทุกท่าน✌️✌️💪👏👏👏","100.63474,13.79926",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/3df37f76ff93f64f1a7c5ceedfa277b7e890a075.jpg,,"2 แยก ซอย โพธิ์แก้ว 3 แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย",คลองจั่น,บางกะปิ,กรุงเทพมหานคร,"2023-05-12 13:01:11.248529+00",รอรับเรื่อง,,0,"2023-05-12 13:01:11.239647+00"
2023-PCHUED,{ทางเท้า},"เขตคลองเตย,สำนักการโยธา กทม.",ฟุตบาธชำรุด,"100.57785,13.72461",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/6913ca6321d45c2471575939ae8e86026e1ef93a.jpg,,"ทองหล่อ แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",พระโขนง,คลองเตย,กรุงเทพมหานคร,"2023-05-12 13:00:04.159639+00",รอรับเรื่อง,,0,"2023-05-12 13:06:17.985317+00"
2023-7QEA4Y,{},เขตดินแดง,"อยากให้มีการจัดระเบียบสิ่งของให้เนียบร้อยสัอาดมากกว่านี้ อาคารกีฬาเวศม์1","100.55085,13.76567",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/9970bb25435fdcbdb7ffa18937022b44478cd8d3.jpg,,"205 ถนน มิตรไมตรี แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2023-05-12 13:00:03.863695+00",รอรับเรื่อง,,0,"2023-05-12 13:00:03.854336+00"
2023-7F3DTV,{ป้าย},เขตบางพลัด,"ต้องการให้ปรับตัวยึดป้ายระวังคนตาบอด ให้ตัวยึดไม่ยื่นออกมานอกเสา เพื่อป้องกันคนใช้เป็นที่เกาะปีนขึ้นเสาไฟฟ้าในการลักขโมยค่ะ เนื่องจากมีขโมยปีน 2ครั้งแล้วค่ะ","100.49881,13.78656",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/bfa0f8923894292cd37117ed57e07ee32b1587e1.jpg,,"26 ซอย จรัญสนิทวงศ์ 68 แยก 2 แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย",บางพลัด,บางพลัด,กรุงเทพมหานคร,"2023-05-12 12:59:11.015314+00",รอรับเรื่อง,,0,"2023-05-12 12:59:11.003486+00"
2023-P3CV78,"{สะพาน,แสงสว่าง}",เขตพระโขนง,ไฟตรงสะพานข้ามทางด่วนก่อนถึงโรงกลั่นบางจากตอนกลางคืนมืดมากค่ะ,"100.60286,13.68518",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/142f978dc140903ed6da5a4311288a8d9407ac9f.jpg,,"48 ซอย สุขุมวิท 64 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย",บางจาก,พระโขนง,กรุงเทพมหานคร,"2023-05-12 12:53:38.964129+00",รอรับเรื่อง,,0,"2023-05-12 12:53:38.954844+00"
2023-K2MT6R,{ความสะอาด},เขตคลองสามวา,"มีการเผาอะไรสักอย่างแถวนี้ควันเยอะมาก และเหม็นมากค่ะ","100.69521,13.91150",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/fa3353e153ee19036d16901a5700a305ab959eea.jpg,,"WM6W+G2X แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย",สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,"2023-05-12 12:51:06.508549+00",รอรับเรื่อง,,0,"2023-05-12 12:51:06.497996+00"
