type,org,description,ticket_id,coords,photo_url,after_photo,address,timestamp,problem_type_abdul,star,count_reopen,note,state,last_activity
,กรุงเทพมหานคร,"สุขุมวิท 11 
ทางเท้าด้านซ้าย: รถกัญชา ขายผลไม้ สารพัดจะขาย ร้านอาหารตั้งขายจนแทบจะเดินบนทางเท้าไม่ได้

ทางเท้าด้านขวา: ร้านตั้งทำอาหารบนทางเท้า !! ไม่พอตั้งโต๊ะให้ลูกค้าตัวเองนั่ง เดินบนทางเท้าไม่สะดวกเลยค่ะ เห็นแก่ตัวมาก เต๊นเทศกิจตั้งอยู่หน้าปากซอยแท้ๆ แต่ไม่ดำเนินการอะไรเลยค่ะ แจ้ง traffy fondue จนเหนื่อยแล้วค่ะ ช่วยแก้ปัญหาระยะยาวสักทีได้มั้ยคะ ถ้าเค้าไม่จ่ายค่าปรับก็ล๊อคล้อ ตั้งกรวย ได้ไหม คนอาศัยในซ. เดือดร้อนมากค่ะ",2023-LFRX4G,"['100.55650', '13.74179']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/de16d4cd3a84799f680e700eb292d9d3b3dd98a7.jpg,,10 ซอย สุขุมวิท 11 แขวง คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,2023-05-18 08:03:32.147669+00,[''],,0,,รอรับเรื่อง,2023-05-18 08:03:32.137831+00
"ความสะอาด,ถนน",กรุงเทพมหานคร,"ปัญหาที่แจ้ง: มีขยะตกค้าง  รถเก็บขยะไม่เข้ามาเก็บ 10 กว่าวันแล้ว ทำให้มีขยะเน่าเสียส่งกลิ่นเหม็นมาก ขอให้มีการเก็บขยะให้ตรงรอบ เป็นแบบนี้มา 2 ถึง 3 เดือนแล้ว
อยากให้เจ้าหน้าที่ดำเนินการและแก้ไข
จุดเกิดเหตุ: แฟลต 29 กับ 30 ที่อยู่ตรงข้ามกับ สนามไทยญี่ปุ่นดินแดง
ถนน: มิตรไมตรี
แขวง: ดินแดง
เขต: ดินแดง
กรุงเทพมหานคร
#1555",GHA47R,"['100.55088', '13.76736']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396963796.jpeg,,"แฟลต 29 กับ 30 ที่อยู่ตรงข้ามกับ สนามไทยญี่ปุ่นดินแดง : 211,211/1- ถนน มิตรไมตรี แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",2023-05-18 08:02:45.25519+00,"['ความสะอาด', 'ถนน']",,0,,รอรับเรื่อง,2023-05-18 08:02:46.835578+00
"ต้นไม้,ถนน,ร้องเรียน,คลอง",กรุงเทพมหานคร,"ปัญหา : อยากให้มีการเปิดน้ำเข้ามาใน คลองบางเขนใหม่ เนื่องจากมีน้ำเน่าเสียและพระท่านออกบิณฑบาตใช้เรือบิณฑบาททางน้ำ ตอนนี้น้ำแห้งไม่สามารถบิณฑบาทได้ และประชาชนไม่มีน้ำรดต้นไม้ ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหานี้ด้วย แจ้งเรื่องแล้ว ปชช. อยากให้ให้ดำเนินการ เคสอ้างอิง #4D93WJ
พิกัดจุดสังเกต : คลองบางเขนใหม่ ไกล้มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ
ถนน :ประชา​ราษฎร์​1
เเขวง : วงศ์สว่าง
เขต :บางซื่อ
#1555",6ZLJPP,"['100.51362', '13.81982']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396898095.jpeg,,RG97+VG3 แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,2023-05-18 08:01:39.679369+00,"['ต้นไม้', 'ถนน', 'ร้องเรียน', 'คลอง']",,0,,รอรับเรื่อง,2023-05-18 08:01:41.285317+00
จราจร,กรุงเทพมหานคร,"บริเวณปากซอย อ่อนนุช 17 แยก 13 ฝั่งตรงข้ามพบตู้คอนโทรลกล้อง CCTV จราจรอ้าออกต้องการให้เจ้าหน้าที่เข้าไปตรวจสอบว่ายังใช้งการได้อยู่หรือไม่
#1555 #citydata",M2X2F4,"['100.61529', '13.72350']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396897185.jpeg,,682 ถนน อ่อนนุช แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18 08:01:38.531896+00,['จราจร'],,0,เขตสวนหลวง ส่งต่อไปยัง สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),ส่งต่อ(ใหม่),2023-05-18 08:02:12.739464+00
สายไฟ,กรุงเทพมหานคร,สายสัญญาณอินเตอร์เน็ตในซอยจรัญสนิทวงศ์ 52 รกมากครับ อยากให้มัดรวมเป็นเส้นใหญ่ๆเส้นเดียวครับ,2023-ENUK2U,"['100.49022', '13.78111']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/0315c1de9e152cc1963570aff0a3e4002b9b54fd.jpg,,25 ซอย จรัญสนิทวงศ์ 52 แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18 07:55:28.84374+00,['สายไฟ'],,0,เขตบางพลัด ส่งต่อไปยัง สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ (กสทช.),ส่งต่อ(ใหม่),2023-05-18 08:02:09.367691+00
"ถนน,ทางเท้า,สะพาน,ท่อระบายน้ำ,คลอง",กรุงเทพมหานคร,"ปัญหา : ประชาชนแจ้งว่า มีฝาท่อระบายน้ำชำรุด อยากให้เจ้าหน้าที่ลงพื้นที่ตรวจสอบและดำเนินการแก้ไข
จุดเกิดเหตุ : ตีนสะพานปรีดีพนมยงค์ (ตรงหัวคลองถนนยูเทิร์นใต้สะพานฝั่งข้ามโรงงานวันดีพาณิชย์-โรงงานพลาสติก ล๊อคติดฝั่งคลองแสนแสบ) ติดขอบฟุตบาท
ซอย : สุขุมวิท
ถนน : สุขุมวิท71
แขวง : สวนหลวง
เขต : สวนหลวง
#1555",JX7W3A,"['100.59878', '13.73893']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396495792.jpeg,,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18 07:54:57.410598+00,"['ถนน', 'ทางเท้า', 'สะพาน', 'ท่อระบายน้ำ', 'คลอง']",,0,เขตสวนหลวง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),2023-05-18 08:02:43.633384+00
"ความสะอาด,ถนน,คลอง",กรุงเทพมหานคร,"ปัญหา : ประชาชนแจ้งว่าลำรางหลังบ้านมีขยะทับถมขวางทางน้ำจำนวนมาก จึงอยากให้มาขุดลอกลำราง ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหา
จุดสังเกต : ลำรางคลองบึงพระยาสุเรนทร์ หลังบ้านผู้แจ้ง อยู่หลังหมู่บ้านแมกไม้วัชรพล สุขาภิบาล 5 ซอย 92  เขตสายไหม 
ซอย : สุขาภิบาล 5 ซอย 92
ถนน : สุขาภิบาล 5 
เขต :  สายไหม
#1555",TZ6FFK,"['100.68372', '13.91431']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396464972.jpeg,,สุขาภิบาล 5 ซอย 92 สุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร : 292 สุขาภิบาล ๕ ซอย 92 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18 07:54:26.471233+00,"['ความสะอาด', 'ถนน', 'คลอง']",,0,,รอรับเรื่อง,2023-05-18 08:02:03.986016+00
"ความปลอดภัย,จราจร",กรุงเทพมหานคร,"แยกไฟแดง บริเวณซอยร่วมมิตรพัฒนาแยก 5 ( 5 แยกวัชรพล ) 
มีการปล่อยไฟจราจรที่สั้นมาก
ทำให้เกิดรถติดสะสม
มีป้อมตำรวจอยู่บริเวณหน้าแยก
แต่ไม่เคยมีตำรวจประจำอยู่ไนป้อม
คนที่นำจักรยานมาจอดตรงป้อม
ก็มีกรณีหายหลายครั้ง
เพราะรู้ว่าไม่มีตำรวจอยู่

บริเวณแยกอื่นจะมีการปล่อยไฟจราจรเขียว
เพื่อปล่อยรถที่พอดี
แต่แยก 5 จะไม่เคยปล่อยเกิน 15 วิ
หรือบางครั้งก็สั้นกว่านั้น
ทำให้มีรถสะสมเยอะเสมอไป
อยากให้มีตำรวจจราจรมาอยู่ที่ป้อมบ้าง
เพื่อความปลอดภัย
และแก้ไขเรื่องไฟจราจรที่ปล่อยไฟเขียวสั้นเกินไปค่ะ",2023-AF9WXH,"['100.64630', '13.86765']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/01146dd13584e3beb3de32f3b4dc8a12ae7ea85f.jpg,,97/31 ถนน สายไหม แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18 07:54:05.256956+00,"['ความปลอดภัย', 'จราจร']",,0,,รอรับเรื่อง,2023-05-18 07:54:05.234036+00
"จราจร,ถนน,กีดขวาง,สะพาน,คลอง",กรุงเทพมหานคร,"หมายเลขอ้างอิง ZN3KD3 เรือง ร้านรับซื้อของเก่ามิตรอารีย์ มีรถหกล้อรับซื้อของเก่า จอดรถลงของกีดขวางการจราจร  // สถานะ : กำลังดำเนินการ  18-05-2023 08:57:20 fondue เขตสวนหลวง
เขตสวนหลวง ส่งต่อไปยัง สน.คลองตัน

ปัญหา : ประชาชนแจ้งว่าโกดังร้านร้บซื้อของเก่ามิตรอารีย์ อยู่แถวคอสะพานปรีดีพนมยงค์ มีรถมาจอดถ่ายเทสินค้า และจอดรถช่วงทางลงตีนสะพาน บางทีก็นำรถจอดขวางทิ้งไว้ตลอด24ชั่วโมง และหน้าโรงงานพลาสติกมีเสาปูน3-4 ต้น นำมาวางเลยตั้งบนพื้นผิวจราจร(ตรงหัวคลองถนนยูเทิร์นใต้สะพานฝั่งข้ามโรงงานวันดีพาณิชย์ ล๊อคติดคลอง) เพื่อให้รถลิฟท์วิ่งขนส่งสินค้าของร้านตนเอง ทำให้กีดขวางการจราจรติดขัด ทำให้ประชาชนผู้สัญจรบนถนนลำบาก ทำให้รถติดและต้องเบี่ยงรถออกทางขวาซึ่งจะทำให้รถเฉี่ยวชนกันได้ จึงต้องการให้เจ้าหน้าที่ลงพื้นที่ตรวจสอบและดำเนินการแก้ไขด้วย
จุดเกิดเหตุ : ตีนสะพานปรีดีพนมยงค์ (ตรงหัวคลองถนนยูเทิร์นใต้สะพานฝั่งตรงข้ามโรงงานวันดีพาณิชย์ ล๊อคติดฝั่งคลองแสนแสบ)
ซอย : สุขุมวิท
ถนน : สุขุมวิท71
แขวง : สวนหลวง
เขต : สวนหลวง
#1555",Y99C7U,"['100.59878', '13.73893']",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1684396352440.jpeg,,1173 ถ. สุขุมวิท 71 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18 07:52:34.252097+00,"['จราจร', 'ถนน', 'กีดขวาง', 'สะพาน', 'คลอง']",,0,เขตสวนหลวง ส่งต่อไปยัง กองบัญชาการตำรวจนครบาล (บช.น.),ส่งต่อ(ใหม่),2023-05-18 07:53:32.249266+00
ทางเท้า,กรุงเทพโปร่งใส,,,"['100.57435', '13.78941']",https://storage.googleapis.com/traffy_public_bucket/TeamChadChart/corruption_photo2.png,https://storage.googleapis.com/traffy_public_bucket/TeamChadChart/corruption_photo_after2.png,,2023-05-18 07:51:34.283388+00,['ทางเท้า'],,0,,รอรับเรื่อง,2023-05-18 07:51:34.272617+00
