ticket_id,type,organization,comment,coords,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
M8VEE2,"{ท่อระบายน้ำ,ความปลอดภัย}",เขตบางเขน,"* ปัญหา: ประชาชนแจ้งว่ามีการขุดลอกท่อแล้วใช้ชะแลงงัดฝาท่อคู่หนึ่งข้างแตกชำรุดทั้งซอย รถที่สัญจรเหยียบซ้ำจนฝาท่อทั้งแยกแตกชำรุดอาจเกิดอุบัติเหตุ ฝาท่อเกือบ20ฝาหรือมากกว่านั้นขอให้เจ้าหน้าที่เข้ามาตรวจสอบ
* จุดเกิดเหตุ: ซอย รามอินทรา 14 แยก 2 
* เขต: บางเขน
#1555","100.62087,13.85507",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683956837319.jpeg,,"159/127​ ซอย รามอินทรา 8 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,"2023-05-13 05:47:18.45431+00",รอรับเรื่อง,,0,"2023-05-13 05:47:20.23463+00"
2023-CU8KZA,{},เขตราชเทวี,อุปกรณ์เด็กเล่นชำรุด,"100.54451,13.75933",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/f31135b72b777d2eb01fac8c4cf161a0690ebd08.jpg,,"307/4 ถ. ราชปรารภ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย",มักกะสัน,ราชเทวี,กรุงเทพมหานคร,"2023-05-13 05:44:28.734989+00",รอรับเรื่อง,,0,"2023-05-13 05:44:28.725828+00"
2023-FTYTPM,{},เขตพระนคร,มีคนรวมกลุ่มกันนั่งกินเหล้าอยู่ข้างกำแพงวัด,"100.49917,13.75986",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/3c5dba02361af3fd5f22278771f40f3358460a70.jpg,,"1 ถนนตะนาว แขวง วัดบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย",บวรนิเวศ,พระนคร,กรุงเทพมหานคร,"2023-05-13 05:44:10.967818+00",รอรับเรื่อง,,0,"2023-05-13 05:44:10.952642+00"
KVRAP4,{ถนน},"เขตมีนบุรี,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.)","ปัญหา:ได้รับความเดือดร้อนจากการก่อสร้างรถไฟฟ้าสายสีชมพู พื้นบ้านทรุด กำแพงบ้านร้าว ฝ้าเพดานแขวนหลุดลงมา พื้นระเบียงบ้านร้าวท่อประปาแตกต้องเสียเงินทำท่อประปาใหม่เป็นหมื่น เคยแจ้งไปแล้วเมื่อเริ่มสร้างแรกๆมาตอนนี้จะเสร็จสมบูรณ์แต่ยังไม่มีเจ้าหน้าที่ทางรถไฟฟ้าสีชมพูมาลงดำเนินการหรือรับผิดชอบใดๆ ขอให้ดำเนินการตรวจสอบและแก้ใขปัญหา 
 จุดเกิดเหตุ:  บริเวณซอยรามคำแหง 192  (ประชาชนได้รับผลกระทบเกือบทุกบ้านภายในซอย)
 บ้านเลขที่:
 ซอย:
 ถนน:ถนนรามคำแหง
 เขต:เขตมีนบุรี
#1555","100.73331,13.80861",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683956648650.jpeg,,"6 ซอย รามคำแหง 192 เขตมีนบุรี กรุงเทพมหานคร 10510 ประเทศไทย",มีนบุรี,มีนบุรี,กรุงเทพมหานคร,"2023-05-13 05:44:09.620318+00",รอรับเรื่อง,,0,"2023-05-13 05:51:57.860497+00"
FJJE8K,"{ถนน,ร้องเรียน}",เขตดินแดง,"ปัญหา: มีการก่อสร้างประตูปิดทางกลับรถระหว่างอาคารพาณิชย์ ทำให้ภายในซอยไม่มีที่กลับรถ หากเกิดเพลิงไหม้รถที่เข้ามาจะไม่สามารถกลับรถได้ จึงขอให้หน่วยงานที่เกี่ยวข้องดำเนินการแก้ไขให้เป็นไปตามระเบียบกฎหมายด้วย ให้มีทางกลับรถระหว่างตัวอาคาร โดยขอให้มีการรื้อถอนประตูที่ปิดระหว่างทางกลับรถออกทางซอย เนื่องจากเคยร้องเรียนไว้ตั้งแต่ พศ. 2563 แต่ยังไม่ได้รับการแก้ไข ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหา
จุดเกิดเหตุ: (สถานที่สำคัญ / จุดเกิดเหตุ) บริเวณตึกคู่ฟ้า
ซอย: ตึกคู่ฟ้า
ถนน: ดินแดง
เขต: ดินแดง
#1555","100.55096,13.76092",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683956528447.jpeg,,"1626/40 ถนน ดินแดง 1 แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2023-05-13 05:42:09.772667+00",รอรับเรื่อง,,0,"2023-05-13 05:42:11.643804+00"
2023-3E89U4,{จราจร},เขตบางรัก,"เห็นคลิปการจัดพื้นที่เรียกแท็กซี่ เพื่อลดการจราจรให้รถติดน้อยลง อยากให้ลองพิจารณาดู ว่าใช้กับกทม.ได้มั๊ย 

https://vt.tiktok.com/ZSL1FSsSc/","100.53648,13.72932",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/20018b6a3de1e8a82743cb4d63de42ee99fec6fb.jpg,,"สีลม แขวง สีลม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย",สีลม,บางรัก,กรุงเทพมหานคร,"2023-05-13 05:41:15.479422+00",รอรับเรื่อง,,0,"2023-05-13 05:41:15.469497+00"
2023-N36MDB,{ทางเท้า},เขตบางขุนเทียน,มีร้านค้าขายของบนทางเท้าที่บิ๊กซีทางไปสรรพากรเขตค่ะ,"100.43812,13.66417",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/59a476281a2f083f24a47d2fe22ce15046c01d7f.jpg,,"อาคาร ศูนย์การค้า เซ็นทรัลพัฒนา พระราม 2 ชั้น 4 เลขที่ 160 ถ. พระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย",แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,"2023-05-13 05:40:22.682222+00",รอรับเรื่อง,,0,"2023-05-13 05:40:22.672045+00"
6XHGZM,"{PM2.5,ถนน,สะพาน,ร้องเรียน,ความปลอดภัย,คลอง}","เขตห้วยขวาง,ฝ่ายเทศกิจ เขตห้วยขวาง","ปัญหา: ประชาชนแจ้งว่า มีรถบรรทุกดินบรรทุกดินมาก่อสร้างแล้วทำดินตกลงบนถนน ดินก้อนใหญ่ๆ และเศษดินหินเล็กๆ เดือดร้อนฝุ่นเข้าบ้านแล้วไม่มีความปลอดภัย และทำให้รถที่สัญจรไปมาเกิดอันตรายได้ อยากให้ทางเขตได้กำชับให้เก็บกวาดดินให้หมดขอให้ดำเนินการตรวจสอบและแก้ไขปัญหา
จุดเกิดเหตุ: (สถานที่สำคัญ / จุดเกิดเหตุ) บริเวณคลองลาดพร้าวที่เชื่อมต่อ ไปทางพระปก 4 คลองสะพานกำลังก่อสร้าง ตรงสะพานข้ามคลอง ตรงข้ามคอนโด เดอะ ไพรเวซี่ รัชดา-สุทธิสาร ใกล้กับบ้านเลขที่ 124 ของผู้แจ้ง
ถนน: สุทธิสารวินิจฉัย
เขต: ห้วยขวาง
แขวง: สามเสนนอกตอนปลาย
#1555","100.58943,13.78932",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683956207500.jpeg,,"QHQQ+QPH ถ. สุทธิสารวินิจฉัย แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,"2023-05-13 05:36:49.492815+00",รอรับเรื่อง,,0,"2023-05-13 05:46:21.30442+00"
2023-KGGD3M,{ท่อระบายน้ำ},เขตบางเขน,"ร้านขายกับข้าวที่ขายตอนเย็นหน้าคลินิกทวีชัยแถวปากซอยพหลโยธิน 54 ทิ้งแกงที่เหลือจากขายลงท่อระบายน้ำโดยไม่กรองเศษอาหารออก","100.61009,13.89807",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/8586c831c841e33b9f5ee44c4f45b36d21ea3555.jpg,,"35 ซอย พหลโยธิน 54 แขวง คลองถนน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,"2023-05-13 05:35:41.435914+00",รอรับเรื่อง,,0,"2023-05-13 05:35:41.424858+00"
2023-BCF48K,"{จราจร,ทางเท้า}",เขตจตุจักร,"รถตุ๊กๆและแท็กซี่จอดแช่บริเวณป้ายรถเมล์  ทำให้รถเมล์เข้าเทียบฟุตบาทไม่ได้ และทำให้การจราจรติดขัดอย่างมาก","100.54843,13.79896",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/a583d54fd1ef68afefd92551a0fbfa6df0a093fc.jpg,,"Chatuchak Market (Gate 2) แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2023-05-13 05:33:18.179204+00",รอรับเรื่อง,,0,"2023-05-13 05:33:18.166384+00"
,{ป้าย},กรุงเทพโปร่งใส,,"100.49230,13.68295",https://storage.googleapis.com/traffy_public_bucket/TeamChadChart/corruption_photo2.png,,,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,"2023-05-13 05:32:15.971911+00",รอรับเรื่อง,,0,"2023-05-13 05:32:15.960707+00"
Y3HDDL,"{ต้นไม้,ถนน}",เขตจตุจักร,"ปัญหา : ต้องการขอใช้บริการ ให้ทางเขตช่วยมาตัดแต่งต้นไม้ที่บ้าน
จุดเกิดเหตุ/จุดสังเกต: เข้าซอยมา ถึงสามแยกเลี้ยวซ้าย แล้วเลี้ยวขวาที่สองเป็นโค้งบังคับจะเจอบ้านแรกขวามือ
บ้านเลขที่ : 195
ถนน :-
ซอย : รัชดาภิเษก44
เขต :จตุจักร
#1555","100.57599,13.82756",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683955920446.jpeg,,"199 รัชดาภิเษก แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จันทรเกษม,จตุจักร,กรุงเทพมหานคร,"2023-05-13 05:32:01.813666+00",รอรับเรื่อง,,0,"2023-05-13 05:32:04.499225+00"
2023-EZ4MTP,"{น้ำท่วม,ความสะอาด}",เขตบางกะปิ,"ร้านสุกี้หม่าล่าที่มาเปิดได้ไม่นานทิ้งขยะและน้ำเสียจากร้านตรงหลังร้านทำให้สกปรกมีกลิ่นเหม็น น้ำขังตรงท่อระบาย มีแมลงวันมาก่อกวน สร้างความเดือดร้อนให้ชาวบ้านและร้านค้าใกล้เคียงค่ะ","100.62947,13.77579",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/48f403ef63509a93906f7c4642b145efdc9c1deb.jpg,,"ซอย ลาดพร้าว 101 แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย",คลองจั่น,บางกะปิ,กรุงเทพมหานคร,"2023-05-13 05:26:03.542249+00",รอรับเรื่อง,,0,"2023-05-13 05:26:03.534228+00"
MNJRHT,{ถนน},"เขตบึงกุ่ม,ฝ่ายโยธา เขตบึงกุ่ม","ปัญหา: ไฟฟ้าส่องสว่างดับ ดับเป็นเวลานานแล้ว เลขที่เสา ม8 // ขอให้เจ้าหน้าที่ดำเนินการแก้ไข
จุดเกิดเหตุ: อยู่หน้าโครงการMy Place จากโรงเรียนบดินทรเดชา ประมาณ 500 เมตร อยู่ฝั่งซ้ายมือ
ซอย: นวมินทร์ 70
ถนน: นวมินทร์
เขต: บึ่งกุ่ม
#1555","100.65843,13.81354",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683955417256.jpeg,,"61 นวมินทร์ 74 แยก 9-2 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240 ประเทศไทย",คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,"2023-05-13 05:23:38.791433+00",รอรับเรื่อง,,0,"2023-05-13 06:31:08.738367+00"
WDFKC8,"{ถนน,ทางเท้า,สะพาน}","เขตวังทองหลาง,ฝ่ายเทศกิจ เขตวังทองหลาง","ปัญหา: ขอให้ดำเนินการกับแม่ค้าพ่อค้าหาบเร่แผงลอยวางตะกร้าที่ขายของรุกล้ำ ทางเดิน ริมฟุตบาทตรง หน้าตลาดสด เอกชน ถนนลาดพร้าว อยากให้เจ้าหน้าที่มาตรวจ
จุดเกิดเหตุ: ตลาดลาดพร้าวสะพาน 2
บ้านเลขที่:-
ซอย:-
ถนน:ลาดพร้าว
เขต:วังทองหลาง
แขวง:สะพานสอง
#1555","100.59080,13.79659",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683955372325.jpeg,,"ลาดพร้าว 47 ลาดพร้าว แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร : ตลาดลาดพร้าวสะพาน 2 แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย",สะพานสอง,วังทองหลาง,กรุงเทพมหานคร,"2023-05-13 05:22:53.505519+00",รอรับเรื่อง,,0,"2023-05-13 05:49:40.380291+00"
YVCELA,"{ต้นไม้,กีดขวาง,ท่อระบายน้ำ,ถนน}",เขตจตุจักร,"ปัญหา : เนื่องจากมีรากต้นไม้ใหญ่ขวางทางท่อระบายน้ำ ทำให้มีดินโคลนอุดทันทางน้ำ ขอให้มาลอกท่อระบายน้ำ ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหา
จุดเกิดเหตุ/จุดสังเกต: หน้าอพาร์ทเมนท์5ชั้น เลขที่ 225 
บ้านเลขที่ : 225
ถนน :-
ซอย : รัชดา44 แยก4
เขต :จตุจักร
#1555","100.57642,13.82715",https://storage.googleapis.com/traffy_public_bucket/attachment/2023-05/1683955094043.jpeg,,"201 รัชดาภิเษก แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จันทรเกษม,จตุจักร,กรุงเทพมหานคร,"2023-05-13 05:18:15.609871+00",รอรับเรื่อง,,0,"2023-05-13 05:18:17.511706+00"
